,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M143,M170/1,M172/15,T403,T402,T309,T368,T324/2,T347,T364/2,T366,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C660,C662,C664,C666,C677,C667,C676,C680,C669/1
0,MZ3978-0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,MW5943-0,-1,1,1,1,2,1,1,1,1,,-1,1,,1,1,1,-1,1,-1,,,,,1,1,,-1,,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
2,MZ4228-0,,,,,,,1,-1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
3,MW5853-0,-1,1,1,2,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1
4,MW5964-0,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
5,MX1105-0,,1,1,-1,1,1,1,-1,1,-1,-1,1,1,1,1,1,-1,1,1,1,5,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
6,MZ3556-0,-1,1,1,1,1,1,1,1,1,-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,MZ3559-0,,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
8,MZ3987-0,-1,1,1,1,1,1,2,1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,MZ4072-0,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,2,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
